ChainId,Name,Symbol,Decimals,TokenAddress
1,SAND,SAND,18,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
1,Frax Share,FXS,18,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0
1,Artificial Liquid Intelligence Token,ALI,18,0x6B0b3a982b4634aC68dD83a4DBF02311cE324181
1,Sharedstake.finance,SGT,18,0x24C19F7101c1731b85F1127EaA0407732E36EcDD
1,VERA,VRA,18,0xF411903cbC70a74d22900a5DE66A2dda66507255
1,Rocket Pool Protocol,RPL,18,0xD33526068D116cE69F19A9ee46F0bd304F21A51f
1,SUDO GOVERNANCE TOKEN,SUDO,18,0x3446Dd70B2D52A6Bf4a5a192D9b0A161295aB7F9
1,LooksRare Token,LOOKS,18,0xf4d2888d29D722226FafA5d9B24F9164c092421E
1,Synthetix Network Token,SNX,18,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F
1,chiliZ,CHZ,18,0x3506424F91fD33084466F402d5D97f05F8e3b4AF
1,Convex Token,CVX,18,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B
1,PowerLedger,POWR,6,0x595832F8FC6BF59c85C527fEC3740A1b7a361269
1,SSV Token,SSV,18,0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54
1,SnipETH,$SNIP,9,0xFa53a3E978623EA3025aB1F80cd45c56C0F49D84
1,Singularity Dao,SDAO,18,0x993864E43Caa7F7F12953AD6fEb1d1Ca635B875F
1,Uniswap V3 Positions NFT-V1,UNI-V3-POS,0,0xC36442b4a4522E871399CD717aBDD847Ab11FE88
1,Uniswap,UNI,18,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984
1,Rally,RLY,18,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b
1,CircuitsOfValue,Coval,8,0x3D658390460295FB963f54dC0899cfb1c30776Df
1,Frax,FRAX,18,0x853d955aCEf822Db058eb8505911ED77F175b99e
1,BoredApeYachtClub,BAYC,0,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D
1,McShibas,SHIBAS,18,0x5b464114a00b382272A7f2aBd5316BAb42FE43DC
1,Aave Token,AAVE,18,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9
1,BBBs,BBB,18,0x880a0CA6CB1b04fE1A597882271cc87C77693497
1,Wrapped liquid staked Ether 2.0,wstETH,18,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
1,The Real Vision Collective,RVC,0,0x4344cb95bCb0d9e7296D0DE2ff329Bfc8D0A84fe
1,Shibarium Bridge,SHIBRIDGE,9,0x0D91E0Ddc9Ac5DE7e9C02bd6FF2bfE7Fa6De4779
1,Flokarium,FLOK,18,0xB56c2D22D4cfACF2618e7FdD7668a1e74DccD838
1,FLOKI,FLOKI,9,0xcf0C122c6b73ff809C693DB761e7BaeBe62b6a2E
1,All In,AllIn,9,0x9B2b931d6AB97B6A887b2C5d8529537E6FE73Ebe
1,JustChill,justchill,0,0x5de20fbFF7E77961FE25B488d2a1A01bDC669C59
1,Poko Bear,POKOB,0,0x458Cc7B5e97412E8e464Bd72aA854514Ec74bD3c
1,Dejitaru Tsuka,TSUKA,9,0xc5fB36dd2fb59d3B98dEfF88425a3F425Ee469eD
1,Capsule Coin,CAPS,18,0x03Be5C903c727Ee2C8C4e9bc0AcC860Cca4715e2
1,Republic Token,REN,18,0x408e41876cCCDC0F92210600ef50372656052a38
1,Trillant,TRI,12,0xcC06579a4CD31B79d5277ED637EDBfeB7BB2686a
1,Dont Buy Inu,DBI,18,0x2dE509bf0014ddF697b220bE628213034d320EcE
1,PxCards,PXCARD,0,0x41ff40C4A06FcE58F9b82E7e9959F58C65aCB3F1
1,Pendle,PENDLE,18,0x808507121B80c02388fAd14726482e061B8da827
